"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","2","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_89ms","testAddToArrayForm_89ms(int[], int, List) Case 2: num=[2, 7, 4], k=181, output=[4, 5, 5]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","13","","org.example.CalculatorTest","","org.example.CalculatorTest","subtract_returnsDifference","subtract_returnsDifference()",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","6","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_2ms","testAddToArrayForm_2ms(int[], int, List) Case 2: num=[2, 7, 4], k=181, output=[4, 5, 5]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","18","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","annotatedStepTest","annotatedStepTest()",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","2","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_2ms","testAddToArrayForm_2ms(int[], int, List) Case 1: num=[1, 2, 0, 0], k=34, output=[1, 2, 3, 4]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","1","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_89ms","testAddToArrayForm_89ms(int[], int, List) Case 3: num=[2, 1, 5], k=806, output=[1, 0, 2, 1]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","2","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_2ms","testAddToArrayForm_2ms(int[], int, List) Case 3: num=[2, 1, 5], k=806, output=[1, 0, 2, 1]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","29","","org.allure.junit5_github_actions.StepTest","","org.allure.junit5_github_actions.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","29","","org.example.problems.AddToArrayFormOfIntegerTest","","org.example.problems.AddToArrayFormOfIntegerTest","testAddToArrayForm_89ms","testAddToArrayForm_89ms(int[], int, List) Case 1: num=[1, 2, 0, 0], k=34, output=[1, 2, 3, 4]",""
"passed","Thu Nov 21 00:36:27 GMT 2024","Thu Nov 21 00:36:27 GMT 2024","1","","org.example.CalculatorTest","","org.example.CalculatorTest","add_returnsSum","add_returnsSum()",""
